lambda_1,lambda_2,lambda_3,x_opt_1,x_opt_2,x_opt_3
0.7082825463761834,0.2458756791159416,0.045841774507875,-1.8745972097282617,-1.874597179350517,-1.874597167452517
0.32165859740898173,0.19275208812202524,0.48558931446899295,-1.4594666950762236,-1.4594666926484507,-1.4594667060547513
0.06466999733178866,0.4513038993008261,0.4840261033673852,-1.697817623413034,-1.6978176266138194,-1.6978176177486843
0.1985877200238795,0.7027656480279111,0.0986466319482094,-2.0,-2.0,-2.0
0.4625266871687626,0.0075099532793539234,0.5299633595518835,-1.2663892108690882,-1.2663892059530901,-1.2663892052499037
0.8683073542842943,0.12408240765530384,0.007610238060401855,-0.9567747664914579,-0.9567746953260732,-0.9567746801984329
0.4584511518897217,0.11228858106412969,0.42926026704614867,-1.3633715786782916,-1.3633715070098789,-1.363371525663579
0.06073579269716987,0.2752626453650954,0.6640015619377346,-1.519346733799869,-1.5193467831269307,-1.5193467655134145
0.17603174738466296,0.566078937727042,0.2578893148882951,-2.0,-2.0,-2.0
0.005071071159273184,0.40497647662997266,0.5899524522107541,-1.6251693716505788,-1.6251693795619557,-1.6251693828056473
0.9257254944583397,0.018021081370578694,0.05625342417108152,2.0,2.0,2.0
0.39431068995781066,0.2911854265996279,0.3145038834425616,-1.6019868815229128,-1.6019869049541946,-1.6019868865147702
0.09410575829914126,0.7060904395724544,0.1998038021284042,-2.0,-2.0,-2.0
0.12124693718439311,0.45468111715458687,0.42407194566102013,-1.7310716111550435,-1.7310716225083276,-1.7310715945740014
0.10845792100080005,0.4127422013724927,0.4787998776267073,-1.6666869857135844,-1.666686826473098,-1.6666872077912203
0.8795828378738091,0.05982220109562865,0.06059496103056215,2.0,2.0,2.0
0.27835451665883665,0.3618248272825197,0.3598206560586437,-1.6692579663765823,-1.669257959642462,-1.6692579588129506
0.2207366376409062,0.3923603160393075,0.3869030463197864,-1.6888427833229818,-1.688842788250209,-1.6888427731652402
0.7463132888409608,0.07197377105011261,0.1817129401089267,-1.1279267284953696,-1.1279266495316502,-1.127926668420614
0.70196442954544,0.22912944623788714,0.06890612421667298,-1.663761864370436,-1.6637618303764012,-1.6637619023133652
0.38862960854133,0.5462327471450121,0.06513764431365789,-2.0,-2.0,-2.0
0.23871890202436485,0.7218112004040093,0.03946989757162582,-2.0,-2.0,-2.0
0.3648980619730102,0.17919340529692565,0.45590853273006415,-1.4448597582726155,-1.44485976466094,-1.4448597630412001
0.33503167252963495,0.46275782114160746,0.2022105063287576,-2.0,-2.0,-2.0
0.19067878930188495,0.04868915041303508,0.7606320602850799,-1.357877758215465,-1.3578777752654416,-1.3578777488303384
0.5621687491794062,0.344274873457093,0.09355637736350073,-2.0,-2.0,-2.0
0.024253728078112553,0.11779026437758308,0.8579560075443042,-1.413430225098523,-1.4134302190878847,-1.4134302212907386
0.15692688519943307,0.8262658001633854,0.01680731463718157,-2.0,-2.0,-2.0
0.08975641119612553,0.42225600721038625,0.4879875815934883,-1.6713332431776962,-1.6713332162309908,-1.6713332428892502
