lambda1,lambda2,lambda3,sensitivity_norm
0.6742243057154609,0.23143330208050372,0.09434239220403545,0.3249966884212159
0.1839340745936104,0.09748731362233083,0.7185786117840588,0.09442122850729345
0.5349930865218983,0.19690289527476015,0.2681040182033417,0.12925305158084144
0.7082386989449665,0.19487174859929296,0.09688955245574057,0.12927498289795306
0.44210722677805053,0.009351434893739805,0.5485413383282097,0.08575902311636144
0.19354500061985871,0.1270499385950187,0.6794050607851225,0.10269608080658782
0.31486734964870183,0.6003336846596723,0.08479896569162575,1.7728106730428987
0.7463262030450102,0.1836497863561925,0.07002401059879744,0.14216421978425697
0.3541976659624664,0.04292714471159315,0.6028751893259404,0.1849083851726907
0.29592831214762116,0.6660120250266334,0.038059662825745445,2.046775313484795
0.2831488000144446,0.1817792632359582,0.5350719367495972,0.13284165563664468
0.2552686253386602,0.08425584157029924,0.6604755330910406,0.1594642871270684
0.32299339288121937,0.6708062786669902,0.006200328451790488,1.5124666238402917
0.386165777788733,0.5321160858018447,0.08171813640942235,3.6029884156414953
0.05431258045332222,0.08045661497446506,0.8652308045722127,0.12404200652174693
0.7394006103812508,0.007273982533278867,0.25332540708547024,1.7504088585223745
0.41328483788003395,0.36217965147840514,0.22453551064156094,0.8508706181425227
0.37404056459849905,0.012979144790384575,0.6129802906111164,0.08213830957916203
0.5457124314500756,0.1584997230471049,0.2957878455028194,0.1668783503994836
0.12843982948679816,0.09137248943782281,0.7801876810753791,0.1469296764912387
0.5557921357593182,0.1691924743961143,0.2750153898445675,0.14975388953604915
0.47305932322648464,0.4949634898556962,0.031977186917819124,1.3681533352644752
0.8066620663815286,0.019903728286342997,0.1734342053321283,1.6408198951232815
0.2688032280362902,0.5819233722566476,0.1492733997070622,1.5214965613656413
0.8766465107604109,0.11496528655485815,0.008388202684730901,2.4282612121333806
0.24197471825772918,0.49971606316218004,0.2583092185800908,0.7479519566200702
0.12968228999492515,0.061679034189168126,0.8086386758159068,0.05725195578643255
0.251882909782078,0.6751788155236348,0.07293827469428717,1.6891970678583743
0.577036743237557,0.12801324510164777,0.2949500116607951,0.11188508000029973
0.5112850369522718,0.21898503175358303,0.26972993129414513,0.19801519101393952
0.07962714145304733,0.21989697990199125,0.7004758786449614,0.11626778848679269
0.3211348243827886,0.4517258513380113,0.2271393242792002,1.2566729715149403
0.9270775181634398,0.036454212451632106,0.0364682693849281,2.367789780434116
0.5960764506384129,0.37815617964453313,0.025767369717054085,1.0010334847920714
0.7119804160685448,0.06695776445134016,0.221061819480115,0.08714111793878976
0.3679492523004499,0.17889359805614197,0.45315714964340825,0.11901328427439882
0.17911953839229855,0.7971288274425795,0.023751634165122028,2.1796713512989006
0.16713466748482414,0.3565221718677271,0.47634316064744875,0.44508974952338687
0.3562303695428455,0.5558378717003734,0.0879317587567812,1.503380164630882
0.06060061188703585,0.6164672502683304,0.3229321378446338,1.9893888771505719
0.3243221720026309,0.31095633686025853,0.36472149113711066,0.26765724355438686
0.23153135163705144,0.03436755500903777,0.7341010933539108,0.09722630166789253
0.6590333326352525,0.06168178730462304,0.2792848800601245,0.07592842024524878
0.7199616158439229,0.16626264107322267,0.11377574308285462,0.15189254585053688
0.16480535352200662,0.8028955589284221,0.03229908754957125,1.3152308355254327
0.15696542137615302,0.25298676043356777,0.5900478181902792,0.1852555453216159
0.19454362510795709,0.7101360157714443,0.09532035912059873,2.182751419943149
0.23515653242805723,0.5982736998142272,0.16656976775771554,1.6706977380758306
0.683096219098994,0.09293549076126488,0.22396829013974104,0.12940772517937343
0.4709275765381468,0.0064720507996770356,0.5226003726621761,0.03819263268967687
0.012018338090184209,0.1985311940203299,0.7894504678894859,0.10514994911438873
0.3113581146525741,0.09766001092762167,0.5909818744198041,0.09127049029824906
0.027377694980822872,0.5235073010943806,0.44911500392479653,0.22600657934888796
0.10839159613998643,0.4095045158908933,0.48210388796912024,0.5165508326708648
0.058168485857526056,0.7699677699201056,0.17186374422236828,4.279043478712183
0.016517370617132016,0.1687370351287155,0.8147455942541526,0.13178799223188822
0.11360649011435016,0.6079135229357322,0.2784799869499176,1.6237575717675408
0.5589755711675054,0.03437104808081094,0.4066533807516836,0.10383284447176491
0.015918024292835765,0.004006233654771285,0.980075742052393,0.06654253274141055
0.2184482293817102,0.6536101988284276,0.12794157178986212,2.4175550713394056
0.5297182150032276,0.2693502107222413,0.20093157427453123,0.2936539563644094
0.10208543343706339,0.17355461110277495,0.7243599554601616,0.18066430140035303
0.3575537409449117,0.4387780326328439,0.20366822642224439,1.3941649936752585
0.12907821877826056,0.32212121140290506,0.5488005698188344,0.21718884516292855
0.4028107268315645,0.43989607879789844,0.15729319437053704,1.065798076375803
0.024437739945304782,0.22202955764382745,0.7535327024108678,0.25968778830780087
0.055832967259019574,0.19220414367378397,0.7519628890671964,0.20195710602007544
0.4265586860483423,0.2971474000976461,0.2762939138540115,0.17277992825801364
0.1752138186421503,0.1953300672745411,0.6294561140833086,0.13381413869028816
0.299238867770731,0.12617703417712278,0.5745840980521463,0.11034389751166575
0.2610573440465203,0.14532733087830024,0.5936153250751794,0.23487918685940787
0.2910028920660392,0.3852727440151447,0.323724363918816,0.6889897333905097
0.5828311759108745,0.1027097107611968,0.31445911332792853,0.08205597729834767
0.6933776666653637,0.09415578361987777,0.21246654971475862,0.09318970521008468
0.5565864020041503,0.2520516251709297,0.1913619728249199,0.2382400145909095
0.10343874100760002,0.1372230863691934,0.7593381726232066,0.20022671220687416
0.21778818195489366,0.6987104287741257,0.08350138927098068,2.8215936422348262
0.029902218591678246,0.04913436933016348,0.9209634120781582,0.08273308686743858
0.6211772888953841,0.1996531719627359,0.17916953914188,0.25086648021927993
0.1716117362797072,0.14675761937730494,0.6816306443429879,0.16663856841573624
0.22950683839166566,0.4348880631683284,0.33560509844000597,0.5675162041489644
0.02812910544903465,0.15664364530391606,0.8152272492470493,0.1037833723010395
0.43060552686661024,0.3608675712479709,0.20852690188541892,0.6112873394681634
0.033464403035347146,0.11848368812829024,0.8480519088363626,0.1114101691838069
0.31719797334090627,0.21073810371439128,0.47206392294470245,0.3756201763466189
0.4659942014075921,0.11253124930169925,0.42147454929070854,0.12019170408071707
0.08173048491350572,0.7548153998918944,0.16345411519459996,3.3678092946505784
0.18725156886991912,0.3793378395557486,0.43341059157433215,0.24652908080049776
0.1336946768047062,0.33656498188164063,0.5297403413136531,0.310517430014648
0.0,0.5,0.5,0.35533203402600055
0.6271940650921896,0.26659371061375187,0.10621222429405852,0.5743655891910527
0.7025278813856052,0.04388162099840222,0.2535904976159927,0.7131308647845449
0.11905667279532625,0.12718624834307599,0.7537570788615978,0.14831102035227153
0.23836549992700004,0.09006252742365765,0.6715719726493422,0.2806121085080075
0.04817273192732842,0.3911761771444683,0.5606510909282033,0.39849353652000524
0.010177627962701769,0.6520172584292929,0.33780511360800525,1.2748575973520413
0.9346934212989578,0.03934281557739579,0.025963763123646347,2.926100739704537
0.025761586566419265,0.76691584447307,0.20732256896051074,1.7786079009346805
0.3612222591706256,0.04428974087691155,0.5944879999524628,0.18788937650233314
0.41003393556922163,0.30711297727845366,0.2828530871523247,0.411203063243643
0.10473003308602306,0.03048243272899797,0.864787534184979,0.0984785596496934
0.18915416526451995,0.24742924420052384,0.5634165905349562,0.24002094879132913
0.28499869323842403,0.6736190980414034,0.04138220872017268,1.6379544167197042
0.2902361531230042,0.1433367727241892,0.5664270741528066,0.031266929466954155
0.17908154717616792,0.5511820692476308,0.2697363835762013,2.151571462694632
0.13528426381407485,0.4038280616510317,0.46088767453489343,0.453050093291682
0.23249661117143955,0.7404620875962216,0.02704130123233893,2.6241818110441204
0.02429867675805373,0.8132432080278308,0.1624581152141154,1.2429419080070994
0.6926686460639684,0.21370006394556817,0.09363128999046351,0.33779272008346667
0.28780248205663533,0.5502105135469442,0.16198700439642053,1.5281190072125748
0.13720014479808973,0.05737611341617111,0.8054237417857392,0.06670170871373653
0.18582819639777962,0.20611792117369146,0.6080538824285289,0.21424017351776514
0.28976668994234134,0.566353291807432,0.14388001825022678,2.2679397151798955
0.19307329444870636,0.12651759569271767,0.680409109858576,0.1775992884544386
0.45155914534588615,0.3706920782129004,0.1777487764412134,0.5122063691085665
