lambda1,lambda2,lambda3,x_opt,cov_matrix,sensitivity_norm,P_matrix,P_flattened
0.7316042175640338,0.2317020366628285,0.036693745773137616,-1.8213156859595603,"[[-2.2435363788599005, -10479.49310111278, 14560.372024236265], [-10479.49310111278, -53.52708295741424, 2469.9708427968226], [14560.372024236265, 2469.9708427968226, 15.69745893064689]]",25609.628009826305,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.4094198412846804,0.31904264689762335,0.27153751181769625,-1.6649690261956298,"[[6.0690396055297136, -5261.068735164346, 10055.166100286942], [-5261.068735164346, -26.508817410221397, -2302.5426379044234], [10055.166100286942, -2302.5426379044234, 9.42629402796733]]",16376.038980332332,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.09759942792689402,0.4370977913817052,0.4653027806914008,-1.693854399819678,"[[5.370368047702989, -5661.821064448027, 11019.351821581828], [-5661.821064448027, -28.429453568340612, -2069.1448733370166], [11019.351821581828, -2069.1448733370166, 10.99048842467436]]",17763.117506408747,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.2510999887743607,0.5699107166394484,0.17898929458619084,-2.0,"[[-11.991551595319905, -12880.943125144951, 25761.886250290117], [-12880.943125144951, -64.40471562572512, 4796.620638128245], [25761.886250290117, 4796.620638128245, 38.198133610523044]]",41294.16239478122,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.5947955724044182,0.3260964975462625,0.07910793004931946,-2.0,"[[-11.991551595320082, -12880.94312514513, 25761.88625029008], [-12880.94312514513, -64.40471562572512, 4796.620638128033], [25761.88625029008, 4796.620638128033, 38.19813361052269]]",41294.16239478124,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.7008588447024795,0.2912942052761975,0.007846950021323056,-2.0,"[[-11.99155159532026, 0.0, 25761.88625029008], [0.0, -64.4047156257252, 4796.620638128086], [25761.88625029008, 4796.620638128086, 38.198133610522596]]",37059.01315874613,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.21305154087003134,0.7231360802285124,0.06381237890145634,-2.0,"[[-11.991551595320615, -12880.94312514481, 25761.88625029026], [-12880.94312514481, -64.40471562572547, 4796.620638128317], [25761.88625029026, 4796.620638128317, 38.19813361052269]]",41294.16239478133,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.4669402346513521,0.4337274834062176,0.09933228194243032,-2.0,"[[-11.991551595320438, -12880.943125145059, 25761.88625029008], [-12880.943125145059, -64.40471562572564, 4796.620638128208], [25761.88625029008, 4796.620638128208, 38.19813361052233]]",41294.16239478123,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.2625909287698072,0.08328291871688893,0.6541261525133039,-1.3711430601783952,"[[7.987581372219754, -2241.3212049803196, 4419.874029124439], [-2241.3212049803196, -11.282771337232855, -3194.7852581515153], [4419.874029124439, -3194.7852581515153, 1.57408773516865]]",8338.531862743475,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.020606827324941988,0.3143358084330263,0.6650573642420317,-1.5466414229769747,"[[7.904755010078013, -3678.8822695733, 7230.55057463295], [-3678.8822695733, -18.472668706304773, -3130.709004973369], [7230.55057463295, -3130.709004973369, 5.102720955629003]]",12297.690036810007,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.5844633679146625,0.006753952628381218,0.4087826794569563,-1.2053868985359109,"[[6.484891192008213, -1473.2731267738507, 0.0], [-1473.2731267738507, -7.481243645364266, -2635.957909869919], [0.0, -2635.957909869919, 0.4363006985733442]]",4270.563643190221,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.20255750164492958,0.5687743894857165,0.2286681088693539,-2.0,"[[-11.99155159532026, -12880.943125145022, 25761.886250290045], [-12880.943125145022, -64.40471562572512, 4796.620638128104], [25761.886250290045, 4796.620638128104, 38.19813361052233]]",41294.16239478114,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.1551395387242246,0.21325621284284085,0.6316042484329345,-1.4751539492003396,"[[8.234123770717794, -2996.0214970963148, 5890.607761753621], [-2996.0214970963148, -15.060532127596282, -3274.0190676058132], [5890.607761753621, -3274.0190676058132, 3.2828002684055946]]",10430.221298471246,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.06652405786101787,0.4278708740809633,0.505605068058019,-1.6693068383652245,"[[6.004084538207621, -5267.583399182882, 10277.314445991762], [-5267.583399182882, -26.446990938349302, -2333.8974305865177], [10277.314445991762, -2333.8974305865177, 9.780143210602787]]",16662.41998494921,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.42659550269003854,0.5096381474116011,0.06376634989836039,-2.0,"[[-11.99155159532026, -12880.943125145022, 25761.886250290045], [-12880.943125145022, -64.40471562572512, 4796.620638128104], [25761.886250290045, 4796.620638128104, 38.198133610523044]]",41294.16239478114,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.2248140466520464,0.6488830733685972,0.1263028799793563,-2.0,"[[-11.991551595319905, -12880.943125144951, 25761.886250290117], [-12880.943125144951, -64.40471562572512, 4796.620638128245], [25761.886250290117, 4796.620638128245, 38.198133610523044]]",41294.16239478122,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.3662075490497864,0.07886974596199081,0.5549227049882227,-1.3512250414632072,"[[7.864168150796669, -2125.144510992225, 4183.742569915747], [-2125.144510992225, -10.714537830844595, -3149.4303215796826], [4183.742569915747, -3149.4303215796826, 1.3471748856094479]]",7992.364063915257,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.32006589060106666,0.42027936281617434,0.259654746582759,-1.8286404576670103,"[[-0.11039678424396016, -8427.921848885162, 16008.397667083187], [-8427.921848885162, -42.38173249377173, 233.10661548908485], [16008.397667083187, 233.10661548908485, 19.472121097932416]]",25587.265932336086,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.23259247143559,0.1242465415001841,0.6431609870642259,-1.4042022493584747,"[[8.143011175028292, -2453.83175870046, 4833.639843372736], [-2453.83175870046, -12.34692867117877, -3250.9246819648215], [4833.639843372736, -3250.9246819648215, 2.01378694967147]]",8939.126034301533,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.628821513399705,0.08999857888741505,0.28117990771288,-1.2722925601937742,"[[7.19214259620804, -1731.389430014918, 3385.1179251043814], [-1731.389430014918, -8.817205805552586, -2911.627395739096], [3385.1179251043814, -2911.627395739096, 0.7102785940730882]]",6772.6467210557075,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.6453485307356969,0.03892357021405334,0.31572789905024995,-1.1951994350890158,"[[6.35857752504716, -1437.4395052795917, 2833.6628478440316], [-1437.4395052795917, -7.328418582952301, -2597.657252587906], [2833.6628478440316, -2597.657252587906, 0.4101588465635242]]",5804.093007738798,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.48238598209448763,0.18686818329261354,0.3307458346128989,-1.4516548536025942,"[[8.244778281917142, -2815.703500327018, 5462.164264102398], [-2815.703500327018, -14.22756697871952, -3268.910886837073], [5462.164264102398, -3268.910886837073, 2.778851032029994]]",9843.712927233819,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.36882363850371797,0.1505446809954289,0.48063168050085314,-1.4152331227990251,"[[8.1799316197122, -2533.5663586013266, 4964.981398465191], [-2533.5663586013266, -12.770913839916176, -3260.828125478099], [4964.981398465191, -3260.828125478099, 2.1723772321823986]]",9132.701266090224,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.006949445247966217,0.46422348975468114,0.5288270649973527,-1.6896935600704177,"[[5.490951231351993, -5584.079156155574, 10903.746903499288], [-5584.079156155574, -28.02591341379994, 0.0], [10903.746903499288, 0.0, 10.80166408808072]]",17324.785868629893,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.37686745181633446,0.006145125111366,0.6169874230722996,-1.2931659986653552,"[[7.404353959669674, -1825.7084369608556, 0.0], [-1825.7084369608556, -9.20867150331901, -2975.943984087106], [0.0, -2975.943984087106, 0.8469360396545333]]",4937.514367353036,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.2570521832646646,0.5667618239104616,0.1761859928248738,-2.0,"[[-11.991551595320615, -12880.943125145093, 25761.886250289976], [-12880.943125145093, -64.40471562572547, 4796.620638128033], [25761.886250289976, 4796.620638128033, 38.19813361052269]]",41294.16239478108,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.281746945693816,0.6150318628876038,0.10322119141858027,-2.0,"[[-11.99155159532026, -12880.943125145164, 25761.886250290045], [-12880.943125145164, -64.40471562572512, 4796.620638127962], [25761.886250290045, 4796.620638127962, 38.198133610523044]]",41294.1623947812,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.07955681223405593,0.04705868352324967,0.8733845042426943,-1.3699149434926405,"[[7.98154997450542, -2232.342883362648, 4417.1882108132], [-2232.342883362648, -11.219406220333283, -3192.6789790226094], [4417.1882108132, -3192.6789790226094, 1.563477938091662]]",8329.249847864985,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
